,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
12,n40ca4s,"Jun 26th, 2020 7:40 pm",,"Jun 26th, 2020 7:40 pm",Sports & Fitness,5.93,0,60%,Canadian Tire,Other,"Rapala 4-in Ceramic Utility Knife, 5.93",https://www.canadiantire.ca/en/pdp/rapala-ceramic-utility-knife-4-in-0778309p.html,1262,2
13,SPARTACVS,"Jun 26th, 2020 3:09 pm",,"Jun 26th, 2020 7:12 pm",Home & Garden,198,6,,Home Depot,Home Improvement & Tools,warm- RYOBI 40V Lithium-Ion Cordless String Trimmer and Blower / Sweeper Combo Kit,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/produit/ryobi-ens-coupe-bordure-et-souffleur-balayeuse-sans-fil-au-li-ion-40-v-2-outils-/1000858339,2186,-1
14,Styleman,"Jun 25th, 2020 12:05 pm","July 2, 2020","Jun 26th, 2020 5:54 pm",Computers & Electronics,,12,,Epic Games,Video Games,Epic Games Weekly FREE GAMES - June 25 to July 2 - Stranger Things 3 and AER,,5387,61
15,grEatbUy,"Jun 26th, 2020 5:27 pm",,"Jun 26th, 2020 5:27 pm",Computers & Electronics,299.99,0,$80 off,Amazon.ca,Peripherals & Accessories,NETGEAR Nighthawk Pro Gaming XR500 WiFi Router CDN$299,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07F8N2VHD%2Fref%3Dppx_yo_dt_b_asin_title_o00_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1089,2
16,CrackTheDeal,"Jun 26th, 2020 7:29 am","June 29, 2020","Jun 26th, 2020 5:24 pm",,$10.88,1,48%,Amazon.ca,Computers & Electronics,"Rii Wireless Mouse RM100,Wireless Office Mouse with Nano Receiver for Laptop Computer I $10.88",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB085VMKFH7%2Fref%3Dcm_sw_r_apa_i_PQD9Eb31M3PET&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1549,-4
17,mwatcher,"Jun 24th, 2020 7:07 am","July 9, 2020","Jun 26th, 2020 5:22 pm",Computers & Electronics,$6.74,17,75%,,Video Games,"Konami Collections PS4 (Castlevania, Contra, Arcade Classics) - $6.74 each",https://store.playstation.com/en-ca/product/UP0101-CUSA13434_00-CASTLEVANIA00001,7079,33
18,hill15,"Jun 23rd, 2020 9:46 am","July 1, 2020","Jun 26th, 2020 5:20 pm",,$5.99,45,,,Groceries,Provigo/Loblaws/Zehrs-Presidents Choice Gourmet Coffee 875/930g $5.99 PC Members (June 25-July 1),https://flipp.com/en-ca/east-york-on/item/499862034-loblaws-weekly-flyer,4827,8
19,dracolnyte,"Jun 26th, 2020 10:03 am",,"Jun 26th, 2020 5:11 pm",,,15,,Dyson,Home & Garden,"15% cashback via Rakuten at Dyson, potentially another 20% for existing customers",http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36311&amp;murl=https%3A%2F%2Fwww.dysoncanada.ca%2Fen%2F&amp;u1=rfdcb,3957,3
20,Njoelk,"Jun 24th, 2020 4:33 pm",,"Jun 26th, 2020 5:09 pm",Computers & Electronics,1399,30,$200,Visions Electronics,Computers & Tablets/eReaders,"Asus TUF 15.6"" R7-4800H / 16GB RAM / 1TB SSD / RTX2060 Laptop (TUF506IV-AS76) $1,399 In store only.",https://www.visions.ca/product-detail/57866/asus_tuf_15_6_r7_4800h_16gb_ram_1tb_ssd_rtx2060_windows_10_gaming_laptop?categoryId=715&amp;sku=TUF506IV-AS76,5204,9
21,immad01,"Jun 26th, 2020 9:52 am","July 2, 2020","Jun 26th, 2020 5:06 pm",Home & Garden,$499.99,13,,Canadian Tire,Home Improvement & Tools,"MAXIMUM 15A Dual-Bevel Sliding Mitre Saw with Stand, 10-in for $499.99",https://www.canadiantire.ca/en/pdp/maximum-15a-dual-bevel-sliding-mitre-saw-with-stand-10-in-0559034p.html,1510,-12
22,TEJVEERGTa,"Jun 26th, 2020 5:01 pm",,"Jun 26th, 2020 5:01 pm",Beauty & Wellness,19.99,0,$20,Amazon.ca,Beauty Supplies & Personal Care,MaxKare Electric Heating Pad - $19.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07F1P8PYW%3Fie%3DUTF8%26m%3DA23MB2GP36R80D%26s%3DHealth%2520and%2520Beauty&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1138,3
