,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
1228,Abanana,2020-06-26 22:17:00,2020-07-01 00:00:00,2020-06-27 01:02:00,Sports & Fitness,5.99,7,,Metro,Other,Nuun electrolyte tablets,https://www.metro.ca/en/flyer,2041,4
1229,idiotcanuck,2020-06-25 21:54:00,2020-07-08 00:00:00,2020-06-27 00:52:00,Computers & Electronics,349.0,8,,The Source,Televisions,Sylvania SL581SMU 58” 4K Ultra HD Smart TV $349,http://www.kqzyfj.com/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Ftvs-home-theatre%2Ftelevisions%2Fall-tvs%2Fsylvania-sl581smu-58%25e2%2580%259d-4k-ultra-hd-smart-tv%2Fp%2F108085316&amp;sid=rfdcb,3712,1
1230,BeeBee,2020-06-26 17:47:00,2020-06-28 00:00:00,2020-06-27 00:11:00,Computers & Electronics,,7,0.3,Altitude Sports,Cameras,30% off member discount on Peak Design,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=42557&amp;murl=https%3A%2F%2Fwww.altitude-sports.com%2Fsearch%2F%3Fq%3DPeak%2520design&amp;u1=rfdcb,2822,9
1231,dontpanic,2020-06-23 14:00:00,,2020-06-26 23:59:00,Computers & Electronics,125.0,18,0.10714285714285714,Razer,Peripherals & Accessories,Hot -Razer Kiyo Webcam - $125 (after sign up code)!!,https://www.razer.com/ca-en/streaming-cameras/razer-kiyo/RZ19-02320100-R3M1,4776,10
1232,Alfred25,2020-06-24 21:49:00,2020-06-30 00:00:00,2020-06-26 23:07:00,Computers & Electronics,399.99,26,0.3,Amazon.ca,Peripherals & Accessories,SanDisk 2TB Extreme PRO Portable External SSD - updated $399.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07TNR2CXJ%2F%3Fcoliid%3DI13J18QUJYOAQ8&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,5257,-6
1233,Canadianbac0n,2020-06-26 20:26:00,,2020-06-26 21:54:00,Sports & Fitness,49.99,2,0.5,Canadian Tire,Other,Coleman Wheeled Cooler with Handle 50 quart $49.99,https://www.canadiantire.ca/en/pdp/coleman-wheeled-cooler-with-handle-47-3-l-0853150p.html#srp,1771,3
1234,Messerschmitt,2020-06-06 19:40:00,,2020-06-26 21:46:00,Home & Garden,31.47,15,,Amazon.ca,Other,"SR SUN RISE 6-Settings 4.8"" High Pressure Handheld Shower Head Set $31.47",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FSR-SUN-RISE-6-Settings-Pressure%2Fdp%2FB07FKHCGK1%2Fref%3Dsr_1_5%3Fdchild%3D1%26keywords%3Dshower%2Bhead%26qid%3D1591486586%26sr%3D8-5&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,5105,10
1235,systemdude,2020-04-29 06:54:00,,2020-06-26 21:44:00,Financial Services,,240,,TD Bank,Mortgages & Loans,TD fixed rate 2.54% mortgage,,59355,-11
1236,SYCvie,2020-06-26 20:35:00,2020-07-01 00:00:00,2020-06-26 20:35:00,Home & Garden,39.99,0,0.33,PetSmart,Pets,Nutrience?? Grain Free SubZero Cat Food - 5kg for $39.99,https://www.petsmart.ca/featured-brands/nutrience/cat/nutrience-grain-free-subzero-cat-food---fraser-valley-30920.html?cgid=5000139,582,3
1237,canada_dry,2020-06-26 17:06:00,2020-06-28 00:00:00,2020-06-26 20:28:00,,3.0,9,0.5,Loblaws,Groceries,Instore bakery 1.5LB Apple Pie $3 (w/ PC optimum card),,1917,10
